name,tradingsymbol
NAHAR SPINNING MILLS,NAHARSPING
NATCO PHARMA,NATCOPHARM
NATH BIO-GENES (I),NATHBIOGEN
NATIONAL ALUMINIUM CO,NATIONALUM
INFO EDGE (I),NAUKRI
NAVA,NAVA
NAVIN FLUORINE INT.,NAVINFLUOR
NAVKAR CORPORATION,NAVKARCORP
NAVNEET EDUCATION,NAVNETEDUL
NAZARA TECHNOLOGIES,NAZARA
NBCC (INDIA),NBCC
N.B.I. IND. FIN. CO.,NBIFIN
NCC,NCC
NCL INDUSTRIES,NCLIND
NAGA DHUNSERI GROUP,NDGL
NANDAN DENIM,NDL
NDR AUTO COMPONENTS,NDRAUTO
NDTV,NDTV
NORTH EAST CARRY CORP,NECCLTD
NELCAST,NELCAST
NELCO,NELCO
NEOGEN CHEMICALS,NEOGEN
NESCO,NESCO
NESTLE INDIA,NESTLEIND
NETWEB TECH INDIA,NETWEB
NETWORK18 MEDIA & INV,NETWORK18
NEULAND LAB,NEULANDLAB
NEWGEN SOFTWARE TECH,NEWGEN
DSPAMC - NEXT30ADD,NEXT30ADD
MIRAEAMC - MANXT50,NEXT50
ICICIPRAMC - ICICINXT50,NEXT50IETF
NEXT MEDIAWORKS,NEXTMEDIA
NATIONAL FERT.,NFL
NAKODA GROUP OF IND.,NGIL
NGL FINE CHEM,NGLFINE
NARAYANA HRUDAYALAYA,NH
NHPC,NHPC
THE NEW INDIA ASSU CO,NIACL
NIBE,NIBE
NRB INDUS. BEARINGS,NIBL
UTIAMC - NIFMID150,NIFMID150
KOTAKMAMC - NIFTY100EW,NIFTY100EW
ZERODHAAMC - NIFTYCASE,NIFTYCASE
BIRLASLAMC - NIFTYQLITY,NIFTYQLITY
NIIT,NIITLTD
NIIT LEARNING SYSTEMS,NIITMTS
NILA INFRASTRUCTURES,NILAINFRA
NILKAMAL,NILKAMAL
NINTEC SYSTEMS,NINSYS
INDO-NATIONAL,NIPPOBATRY
NIRAJ CEMENT STRUC,NIRAJ
NIRAJ ISPAT IND,NIRAJISPAT
NITCO,NITCO
NITIN SPINNERS,NITINSPIN
NITIRAJ ENGINEERS,NITIRAJ
NIVA BUPA HEALTH INS CO L,NIVABUPA
NK INDUSTRIES,NKIND
NLC INDIA,NLCINDIA
NMDC,NMDC
NOCIL,NOCIL
NOIDA TOLL BRIDGE CO,NOIDATOLL
NORTHERN ARC CAPITAL,NORTHARC
NOVA AGRITECH,NOVAAGRI
TATAAML - NPBET,NPBET
NETWORK PEOPLE SRV TECH L,NPST
N R AGARWAL INDS,NRAIL
NRB BEARING,NRBBEARING
NUPUR RECYCLERS,NRL
NALWA SONS INVESTMENT,NSIL
NMDC STEEL,NSLNISP
NTPC,NTPC
NTPC GREEN ENERGY,NTPCGREEN
NUCLEUS SOFTWARE EXPORTS,NUCLEUS
NURECA,NURECA
NUVAMA WEALTH MANAGE,NUVAMA
NUVOCO VISTAS CORP,NUVOCO
FSN E COMMERCE VENTURES,NYKAA
ORIENTAL AROMATICS,OAL
ORISSA BENGAL CARRIER,OBCL
OBEROI REALTY,OBEROIRLTY
OCCL,OCCLLTD
ORACLE FIN SERV SOFT,OFSS
OIL INDIA,OIL
OIL COUNTRY TUBULAR,OILCOUNTUB
OLECTRA GREENTECH,OLECTRA
OMAXE,OMAXE
OM INFRA,OMINFRAL
ONELIFE CAP ADVISORS,ONELIFECAP
ONE POINT ONE SOL,ONEPOINT
ONESOURCE SPECL PHARMA L,ONESOURCE
OIL AND NATURAL GAS CORP.,ONGC
ONMOBILE GLOBAL,ONMOBILE
ONWARD TECHNOLOGIES,ONWARDTEC
OPTIEMUS INFRACOM,OPTIEMUS
ORBIT EXPORTS,ORBTEXP
ORCHID PHARMA,ORCHPHARMA
ORICON ENTERPRISES,ORICONENT
ORIENTAL TRIMEX,ORIENTALTL
ORIENT BELL,ORIENTBELL
ORIENT CEMENT,ORIENTCEM
ORIENT CERATECH,ORIENTCER
ORIENT ELECTRIC,ORIENTELEC
ORIENT HOTELS,ORIENTHOT
ORIENT PRESS,ORIENTLTD
ORIENT PAPER AND INDS,ORIENTPPR
ORIENT TECHNOLOGIES,ORIENTTECH
ORISSA MIN DEV CO,ORISSAMINE
OSWAL AGRO MILLS,OSWALAGRO
OSWAL GREENTECH,OSWALGREEN
OSWAL PUMPS,OSWALPUMPS
PACE DIGITEK,PACEDIGITK
PAGE INDUSTRIES,PAGEIND
PAISALO DIGITAL,PAISALO
PAKKA,PAKKA
PALASH SECURITIES,PALASHSECU
PANACEA BIOTEC,PANACEABIO
PANAMA PETROCHEM,PANAMAPET
PANSARI DEVELOPERS,PANSARI
PARAMOUNT COMM,PARACABLES
PARADEEP PHOSPHATES,PARADEEP
PARAG MILK FOODS,PARAGMILK
PARAS DEF AND SPCE TECH L,PARAS
PARAS PETROFILS,PARASPETRO
PARKHOTELS,PARKHOTELS
PARSVNATH DEVELOPER,PARSVNATH
PASHUPATI COTSPIN,PASHUPATI
PASUPATI ACRYLON,PASUPTAC
PATANJALI FOODS,PATANJALI
PATEL ENGINEERING,PATELENG
PATEL RETAIL,PATELRMART
PATEL INT. LOG.,PATINTLOG
PAVNA INDUSTRIES,PAVNAIND
ONE 97 COMMUNICATIONS,PAYTM
PCBL CHEMICAL,PCBL
PC JEWELLER,PCJEWELLER
PUDUMJEE PAPER PRO.,PDMJEPAPER
PDS,PDSL
PEARL POLYMERS,PEARLPOLY
PENNAR INDUSTRIES,PENIND
PENINSULA LAND,PENINLAND
PERSISTENT SYSTEMS,PERSISTENT
PETRONET LNG,PETRONET
POWER FIN CORP,PFC
PFIZER,PFIZER
PRIME FOCUS,PFOCUS
PTC INDIA FIN SERV,PFS
PG ELECTROPLAST,PGEL
P&G HYGIENE & HEALTH CARE,PGHH
PROCTER & GAMBLE HEALTH L,PGHL
PEARL GLOBAL IND,PGIL
THE PHOENIX MILLS,PHOENIXLTD
PICCADILY AGRO INDUSTRI L,PICCADIL
PIDILITE INDUSTRIES,PIDILITIND
PI INDUSTRIES,PIIND
PILANI INV & IND COR,PILANIINVS
PIL ITALICA LIFESTYLE,PILITA
PIONEER EMBROIDERIES,PIONEEREMB
PITTI ENGINEERING,PITTIENG
PIX TRANSMISSIONS,PIXTRANS
PLASTIBLENDS INDIA,PLASTIBLEN
PLATINUM INDUSTRIES,PLATIND
PLAZA WIRES,PLAZACABLE
PUNJAB NATIONAL BANK,PNB
PNB GILTS,PNBGILTS
PNB HOUSING FIN,PNBHOUSING
PNC INFRATECH,PNCINFRA
P N GADGIL JEWELLERS,PNGJL
PONDY OXIDES & CHEM,POCL
PODDAR PIGMENTS,PODDARMENT
POKARNA,POKARNA
PB FINTECH,POLICYBZR
POLYCAB INDIA,POLYCAB
POLY MEDICURE,POLYMED
POLYPLEX CORPORATION,POLYPLEX
PONNIE SUGARS (ERODE),PONNIERODE
POONAWALLA FINCORP,POONAWALLA
POWER GRID CORP.,POWERGRID
HITACHI ENERGY INDIA,POWERINDIA
POWER MECH PROJECTS,POWERMECH
PPAP AUTOMOTIVE,PPAP
PRAKASH PIPES,PPL
PIRAMAL PHARMA,PPLPHARMA
PRABHA ENERGY,PRABHA
PRAJ INDUSTRIES,PRAJIND
PRAKASH INDUSTRIES,PRAKASH
PRAKASH STEELAGE,PRAKASHSTL
PRECISION CAMSHAFTS,PRECAM
PRECOT,PRECOT
PRECISION WIRES INDIA,PRECWIRE
PREMIER EXPLOSIVES,PREMEXPLN
PREMIER ENERGIES,PREMIERENE
PREMIER POLYFILM,PREMIERPOL
PRESTIGE ESTATE,PRESTIGE
PRICOL,PRICOLLTD
PRIME SECURITIES,PRIMESECU
PRIMO CHEMICALS,PRIMO
PRINCE PIPES FITTINGS,PRINCEPIPE
PRITI INTERNATIONAL,PRITI
PRITIKA AUTO INDUS,PRITIKAUTO
PRIVI SPECIALITY CHE,PRIVISCL
PROSTARM INFO SYSTEMS,PROSTARM
PROTEAN EGOV TECHNO,PROTEAN
PRISM JOHNSON,PRSMJOHNSN
PRUDENT CORP ADV SER,PRUDENT
PRUDENTIAL SUGAR CORPORAT,PRUDMOULI
PUNJAB & SIND BANK,PSB
PSP PROJECTS,PSPPROJECT
KOTAK PSU BANK,PSUBANK
ICICIPRAMC - PSUBANKICI,PSUBNKIETF
PTC INDIA,PTC
PTC INDUSTRIES,PTCIL
PTL ENTERPRISES,PTL
PUNJAB CHEM & CROP PROT L,PUNJABCHEM
PURAVANKARA,PURVA
PVR INOX,PVRINOX
POPULAR VEHICLES N SER L,PVSL
ICICIPRAMC - ICICIBANKP,PVTBANIETF
PYRAMID TECHNOPLAST,PYRAMID
QUANTUM GOLD FUND,QGOLDHALF
QUALITY POWER ELEC EQUP L,QPOWER
QUADRANT FUTURE TEK,QUADFUTURE
ICICIPRAMC - ICICIQTY30,QUAL30IETF
KOTAKMAMC - QUALITY30,QUALITY30
QUESS CORP,QUESS
QUICK HEAL TECH,QUICKHEAL
RACE ECO CHAIN,RACE
RACL GEARTECH,RACLGEAR
RADAAN MEDIAWORKS (I),RADAAN
RADHIKA JEWELTECH,RADHIKAJWE
RADIANT CASH MGMT SER,RADIANTCMS
RADICO KHAITAN,RADICO
MUSIC BROADCAST,RADIOCITY
RAILTEL CORP OF IND,RAILTEL
RAIN INDUSTRIES,RAIN
RAINBOW CHILDRENS MED,RAINBOW
RAJESH EXPORTS,RAJESHEXPO
RAJNANDINI METAL,RAJMET
RAJOO ENGINEERS,RAJOOENG
RAJRATAN GLOBAL WIRE,RAJRATAN
RAJSHREE SUGAR & CHEMICAL,RAJSREESUG
RAJ TV NETWORK,RAJTV
RALLIS INDIA,RALLIS
SHREE RAMA NEWSPRINT,RAMANEWS
RAMA PHOSPHATES,RAMAPHO
RAMA STEEL TUBES,RAMASTEEL
THE RAMCO CEMENTS,RAMCOCEM
RAMCO INDUSTRIES,RAMCOIND
RAMCO SYSTEMS,RAMCOSYS
RAMKY INFRA,RAMKY
RAM RATNA WIRES,RAMRAT
RANA SUGARS,RANASUG
RANE HOLDINGS,RANEHOLDIN
RATEGAIN TRAVEL TECHN,RATEGAIN
RATNAMANI MET & TUB,RATNAMANI
RATNAVEER PRECISION ENG L,RATNAVEER
RAYMOND,RAYMOND
RAYMOND LIFESTYLE,RAYMONDLSL
RAYMOND REALTY,RAYMONDREL
RESTAURANT BRAND ASIA,RBA
RBL BANK,RBLBANK
RBZ JEWELLERS,RBZJEWEL
RASHTRIYA CHEMICALS & FER,RCF
REC,RECLTD
REDINGTON,REDINGTON
REDTAPE,REDTAPE
REFEX INDUSTRIES,REFEX
REGAAL RESOURCES,REGAAL
REGENCY CERAMICS,REGENCERAM
RELAXO FOOT,RELAXO
RELIANCE CHEMOTEX IND,RELCHEMQ
RELIANCE INDUSTRIES,RELIANCE
RELIGARE ENTER.,RELIGARE
RAVINDRA ENERGY,RELTD
REMSONS INDUSTRIES,REMSONSIND
SHREE RENUKA SUGARS,RENUKA
REPCO HOME FINANCE,REPCOHOME
RUDRABHISHEK ENTERP,REPL
REPRO INDIA,REPRO
RESPONSIVE INDUSTRIES,RESPONIND
JHS SVENDGAARD RETAIL V L,RETAIL
RENAISSANCE GLOBAL,RGL
RHETAN TMT,RHETAN
RHI MAGNESITA INDIA,RHIM
ROBUST HOTELS,RHL
RICO AUTO INDUSTRIES,RICOAUTO
RELIANCE INDUSTRIAL INFRA,RIIL
RITCO LOGISTICS,RITCO
RITES,RITES
RAVI KUMAR DIST.,RKDL
RKEC PROJECTS,RKEC
RAMKRISHNA FORGINGS,RKFORGE
R K SWAMY,RKSWAMY
R M DRIP & SPRINK SYS,RMDRIP
RANE (MADRAS),RML
R&B DENIMS,RNBDENIMS
ROYAL ORCHID HOTELS,ROHLTD
ROLEX RINGS,ROLEXRINGS
ROLLATAINERS,ROLLT
RAJ OIL MILLS,ROML
ROSSARI BIOTECH,ROSSARI
ROSSELL INDIA,ROSSELLIND
ROSSELL TECHSYS,ROSSTECH
ROTO PUMPS,ROTO
ROUTE MOBILE,ROUTE
RAGHAV PRODUCTIVITY ENH L,RPEL
RPG LIFE SCIENCES,RPGLIFE
RELIANCE POWER,RPOWER
R.P.P INFRA PROJECTS,RPPINFRA
RAJSHREE POLYPACK,RPPL
RPSG VENTURES,RPSGVENT
RASHI PERIPHERALS,RPTECH
R R KABEL,RRKABEL
R. S. SOFTWARE (INDIA) LI,RSSOFTWARE
RSWM,RSWM
R SYS INTERNATIONAL,RSYSTEMS
RATTANINDIA ENT,RTNINDIA
RATTANINDIA POWER,RTNPOWER
RUBFILA INTERNATIONAL,RUBFILA
RUBICON RESEARCH,RUBICON
THE RUBY MILLS,RUBYMILLS
RUCHI INFRASTRUCTURE,RUCHINFRA
RUCHIRA PAPERS,RUCHIRA
RUPA & COMPANY,RUPA
RUSHIL DECOR,RUSHIL
KEYSTONE REALTORS,RUSTOMJEE
RAIL VIKAS NIGAM,RVNL
REVATHI EQUIPMENT INDIA L,RVTH
S&S POWER SWITCHGEARS,S&SPOWER
SAATVIK GREEN ENERGY,SAATVIKGL
SRI ADHIKARI BRO TELE N L,SABTNL
SADBHAV ENGINEERING,SADBHAV
SAFARI IND (INDIA),SAFARI
SAGARDEEP ALLOYS,SAGARDEEP
SAGAR CEMENTS,SAGCEM
SAGILITY,SAGILITY
SAHYADRI INDUSTRIES,SAHYADRI
STEEL AUTHORITY OF INDIA,SAIL
SAI LIFE SCIENCES,SAILIFE
SAKAR HEALTHCARE,SAKAR
SAKTHI SUGARS,SAKHTISUG
SAKSOFT,SAKSOFT
SAKUMA EXPORTS,SAKUMA
SALASAR TECHNO ENGG.,SALASAR
SALONA COTSPIN,SALONA
SALZER ELECTRONICS,SALZERELEC
SAMBHAAV MEDIA,SAMBHAAV
SAMBHV STEEL TUBES,SAMBHV
SAMHI HOTELS,SAMHI
SAMMAAN CAPITAL,SAMMAANCAP
SAMPANN UTPADAN INDIA,SAMPANN
SANATHAN TEXTILES,SANATHAN
SANDESH,SANDESH
SANDHAR TECHNOLOGIES,SANDHAR
SANDUR MANG & IRON ORES L,SANDUMA
SANGAM (INDIA),SANGAMIND
SANGHI INDUSTRIES,SANGHIIND
SANGHVI MOVERS,SANGHVIMOV
SANGINITA CHEMICALS,SANGINITA
SANOFI INDIA,SANOFI
SANOFI CONS HEALTHC IND L,SANOFICONR
SANSERA ENGINEERING,SANSERA
SANSTAR,SANSTAR
SAPPHIRE FOODS INDIA,SAPPHIRE
SARDA ENERGY & MIN,SARDAEN
SAREGAMA INDIA,SAREGAMA
SARLA PERF. FIBERS,SARLAPOLY
SARVESHWAR FOODS,SARVESHWAR
SASKEN TECHNOLOGIES,SASKEN
SASTASUNDAR VENTURES,SASTASUNDR
SATIA INDUSTRIES,SATIA
SATIN CREDIT NET,SATIN
SAURASHTRA CEMENT,SAURASHCEM
SBC EXPORTS,SBC
SHIVALIK BIMETAL CON.,SBCL
SBFC FINANCE,SBFC
SURATWWALA BUS GROUP,SBGLP
SBIAMC - SBIBPB,SBIBPB
SBI CARDS & PAY SER,SBICARD
SBI LIFE INSURANCE CO,SBILIFE
STATE BANK OF INDIA,SBIN
SBIAMC - SBISILVER,SBISILVER
SCHAEFFLER INDIA,SCHAEFFLER
S CHAND AND COMPANY,SCHAND
SCHNEIDER ELECTRIC INFRA,SCHNEIDER
SHIPPING CORP OF INDIA LT,SCI
SHIPPING CORP OF ILA,SCILAL
SCODA TUBES,SCODATUBES
SHEETAL COOL PRODUCTS,SCPL
SOM DIST & BREW,SDBL
SEAMEC,SEAMECLTD
SECMARK CONSULTANCY,SECMARK
SECUREKLOUD TECH,SECURKLOUD
SEJAL GLASS,SEJALLTD
MIRAEAMC - SELECTIPO,SELECTIPO
SEL MANUFACTURING CO,SELMC
SEMAC CONSTRUCTION,SEMAC
SENCO GOLD,SENCO
SENORES PHARMACEUTICALS L,SENORES
SEPC,SEPC
SEQUENT SCIENTIFIC,SEQUENT
SERVOTECH REN POW SYS,SERVOTECH
SESHASAYEE PAPER & BOARDS,SESHAPAPER
SETCO AUTOMOTIVE,SETCO
SHEELA FOAM,SFL
SG FINSERVE,SGFIN
SYNERGY GREEN IND.,SGIL
STL GLOBAL,SGL
STANDARD GLASS LIN TECH L,SGLTL
SG MART,SGMART
SHAH METACORP,SHAH
SHAH ALLOYS,SHAHALLOYS
SHAILY ENG PLASTICS,SHAILY
SHAKTI PUMPS (I),SHAKTIPUMP
SHALBY,SHALBY
SHALIM PAINTS,SHALPAINTS
SHANKARA BLDG PRODUCT,SHANKARA
SHANTI OVERSEAS INDIA,SHANTI
SHANTHI GEARS,SHANTIGEAR
SHANTI GOLD INTERNATION L,SHANTIGOLD
SHARDA CROPCHEM,SHARDACROP
SHARDA MOTOR INDS,SHARDAMOTR
SHARE IND. SECURITIES,SHAREINDIA
SHEKHAWATI INDUSTRIES,SHEKHAWATI
SHEMAROO ENTER.,SHEMAROO
SHILPA MEDICARE,SHILPAMED
SHIVALIK RASAYAN,SHIVALIK
SHIVAM AUTO.LTD,SHIVAMAUTO
SHIVA MILLS,SHIVAMILLS
SHIVA TEXYARN,SHIVATEX
S H KELKAR AND CO.,SHK
SHOPPERS STOP,SHOPERSTOP
SHRADHA INFRAPROJECTS,SHRADHA
SHREE DIGVIJAY CEM CO,SHREDIGCEM
SHREE CEMENT,SHREECEM
SHREEJI SHIPPING GLOBAL L,SHREEJISPG
SHRE PUSH CHEM & FERT,SHREEPUSHK
SHRENIK,SHRENIK
SHREYANS INDUSTRIES,SHREYANIND
SHRINGAR HOU OF MANGALS L,SHRINGARMS
SHRIRAM PIST. & RING,SHRIPISTON
SHRIRAM FINANCE,SHRIRAMFIN
SHRIRAM PROPERTIES,SHRIRAMPPS
SHYAM CENTURY FERROUS,SHYAMCENT
SHYAM METALICS AND ENGY L,SHYAMMETL
SHYAM TELECOM,SHYAMTEL
SIEMENS,SIEMENS
SIGACHI INDUSTRIES,SIGACHI
SIGNET INDUSTRIES,SIGIND
SIGNATUREGLOBAL INDIA,SIGNATURE
SIGNPOST INDIA,SIGNPOST
SIKKO INDUSTRIES,SIKKO
STANDARD INDUSTRIES,SIL
SIL INVESTMENTS,SILINV
SILLY MONKS ENTERTAIN,SILLYMONKS
BIRLASLAMC - SILVER,SILVER
KOTAKMAMC - KOTAKSILVE,SILVER1
360ONEAMC - SILVER360,SILVER360
MIRAEAMC - MASILVER,SILVERAG
ZERODHAAMC - SILVERCASE,SILVERCASE
ICICIPRAMC - ICICISILVE,SILVERIETF
SILVER TOUCH TECHNO,SILVERTUC
SIMPLEX INFRASTRUCTURES L,SIMPLEXINF
SINCLAIRS HOTELS,SINCLAIR
SINDHU TRADE LINKS,SINDHUTRAD
SINTERCOM INDIA,SINTERCOM
SIRCA PAINT INDIA,SIRCA
SIS,SIS
SIYARAM SILK MILLS,SIYSIL
SJS ENTERPRISES,SJS
SJVN,SJVN
SKIPPER,SKIPPER
SKY GOLD AND DIAMONDS,SKYGOLD
MIRAEAMC - SMALLCAP,SMALLCAP
SMARTLINK HOLDINGS,SMARTLINK
SMARTWORKS COWORKING SP L,SMARTWORKS
SMC GLOBAL SECURITIES,SMCGLOBAL
ZERODHAAMC - SML100CASE,SML100CASE
SML ISUZU,SMLISUZU
SARTHAK METALS,SMLT
SMS LIFESCIENCES (I),SMSLIFE
SMS PHARMACEUTICALS,SMSPHARMA
SNOWMAN LOGISTICS,SNOWMAN
NIPPONAMC - SNXT30BEES,SNXT30BEES
SOBHA,SOBHA
SOFTTECH ENGINEERS,SOFTTECH
SOLARA ACTIVE PHA SCI,SOLARA
SOLAR INDUSTRIES (I),SOLARINDS
SOLARWORLD ENERGY SOL,SOLARWORLD
SOLEX ENERGY,SOLEX
SOMANY CERAMICS,SOMANYCERA
SOMI CONVEYOR BELT.,SOMICONVEY
SONA BLW PRECISION FRGS L,SONACOMS
SONAM,SONAMLTD
SONATA SOFTWARE,SONATSOFTW
SAVITA OIL TECHNOLO.,SOTL
THE SOUTH INDIAN BANK,SOUTHBANK
SOUTH WEST PINNACLE,SOUTHWEST
S. P. APPARELS,SPAL
SPANDANA SPHOORTY FIN,SPANDANA
SUN PHARMA ADV.RES.CO.LTD,SPARC
SPECIALITY REST,SPECIALITY
SPECTRUM ELECTRIC IND,SPECTRUM
SPENCER S RETAIL,SPENCERS
SPIC,SPIC
SPL INDUSTRIES,SPLIL
SUPREME PETROCHEM,SPLPETRO
SPML INFRA,SPMLINFRA
SPORTKING INDIA,SPORTKING
SREELEATHERS,SREEL
SRF,SRF
SRG HOUSING FINANCE L,SRGHFL
SREE RAYALSEEMA HHP,SRHHYPOLTD
SRM CONTRACTORS,SRM
SARASWATI SAREE DEPOT,SSDL
STEEL STRIPS WHEELS,SSWL
STALLION IND FLUOROCHEM L,STALLION
STANLEY LIFESTYLES,STANLEY
STRIDES PHARMA SCI,STAR
STAR CEMENT,STARCEMENT
STAR HEALTH & AL INS CO L,STARHEALTH
STAR PAPER MILLS,STARPAPER
STARTECK FINANCE,STARTECK
THE STATE TRADING CORPN,STCINDIA
STEELCAST,STEELCAS
STEEL CITY SECURITIES,STEELCITY
STEEL EXCHANGE INDIA,STEELXIND
STEL HOLDINGS,STEL
STERLING TOOLS,STERTOOLS
STL NETWORKS,STLNETWORK
STERLITE TECHNOLOGIES,STLTECH
STOVE KRAFT,STOVEKRAFT
SESHAASAI TECHNOLOGIES L,STYL
STYLAM INDUSTRIES,STYLAMIND
BAAZAR STYLE RETAIL,STYLEBAAZA
STYRENIX PERFORMANCE,STYRENIX
SUBEX,SUBEXLTD
SUBROS,SUBROS
SUDARSHAN CHEMICAL INDS L,SUDARSCHEM
SUKHJIT STARCH & CHEM,SUKHJITS
SULA VINEYARDS,SULA
SUMITOMO CHEM INDIA,SUMICHEM
SUMIT WOODS,SUMIT
SUMMIT SECURITIES,SUMMITSEC
SUNDARAM CLAYTON,SUNCLAY
SUNDARAM MULTI PAP,SUNDARAM
SUNDARAM FINANCE,SUNDARMFIN
SUNDARAM BRAK LININGS,SUNDRMBRAK
SUNDRAM FASTENERS,SUNDRMFAST
SUNDROP BRANDS,SUNDROP
SUNFLAG IRON AND STEEL CO,SUNFLAG
SUN PHARMACEUTICAL IND L,SUNPHARMA
SUNTECK REALTY,SUNTECK
SUN TV NETWORK,SUNTV
SUPERHOUSE,SUPERHOUSE
SUPER SPINNING MILLS,SUPERSPIN
SUPRAJIT ENGINEERING,SUPRAJIT
SUPREME HOLDIN N HOSP I L,SUPREME
SUPREME INDUSTRIES,SUPREMEIND
SUPRIYA LIFESCIENCE,SUPRIYA
SURAJ ESTATE DEVELOPERS L,SURAJEST
SURAJ,SURAJLTD
SURAKSHA DIAGNOSTIC,SURAKSHA
SURANA SOLAR,SURANASOL
SURANA TELECOM AND POW LT,SURANAT&P
SURYALAKSHMI COT MIL,SURYALAXMI
SURYA ROSHNI,SURYAROSNI
SURYODAY SMALL FIN BK,SURYODAY
SUTLEJ TEXT & INDUS,SUTLEJTEX
SUVEN LIFE SCIENCES,SUVEN
SUVIDHAA INFOSERVE,SUVIDHAA
SUYOG TELEMATICS,SUYOG
SUZLON ENERGY,SUZLON
SHREE VASU LOGISTICS,SVLL
SVP GLOBAL TEXTILES,SVPGLOB
SWAN CORP,SWANCORP
SWARAJ ENGINES,SWARAJENG
SWELECT ENERGY SYS,SWELECTES
SWIGGY,SWIGGY
STRLNG & WIL REN ENE,SWSOLAR
SYMPHONY,SYMPHONY
SYNCOM FORMU (I),SYNCOMF
SYNGENE INTERNATIONAL,SYNGENE
SYRMA SGS TECHNOLOGY,SYRMA
SYSTEMATIX CORP SERVICE L,SYSTMTXC
TAINWALA CHEMICAL AND PLA,TAINWALCHM
TAJ GVK HOTELS & RESORTS,TAJGVK
TALBROS AUTO. COMP.,TALBROAUTO
TANLA PLATFORMS,TANLA
TARA CHAND INFRA SOLN,TARACHAND
TARAPUR TRANSFORMERS,TARAPUR
TARC,TARC
TRANS & RECTI.,TARIL
TARMAT,TARMAT
TARSONS PRODUCTS,TARSONS
TASTY BITE EATABLES,TASTYBITE
TATA CAPITAL,TATACAP
TATA CHEMICALS,TATACHEM
TATA COMMUNICATIONS,TATACOMM
TATA CONSUMER PRODUCT,TATACONSUM
TATA ELXSI,TATAELXSI
TATAAML-TATAGOLD,TATAGOLD
TATA INVESTMENT CORP,TATAINVEST
TATA MOTORS,TATAMOTORS
TATA POWER CO,TATAPOWER
TATA STEEL,TATASTEEL
TATA TECHNOLOGIES,TATATECH
TATAAML-TATSILV,TATSILV
TATVA CHIN PHARM CHEM,TATVA
TBO TEK,TBOTEK
TRIB BHIMJI ZAVERI,TBZ
TRANSPORT CORPN OF INDIA,TCI
TCI EXPRESS,TCIEXP
TCI FINANCE,TCIFINANCE
TCPL PACKAGING,TCPLPACK
TATA CONSULTANCY SERV LT,TCS
TD POWER SYSTEMS,TDPOWERSYS
TEAMLEASE SERVICES,TEAMLEASE
BIRLASLAMC - TECH,TECH
TECH MAHINDRA,TECHM
TECHNO ELEC & ENG CO.,TECHNOE
TEGA INDUSTRIES,TEGA
TEJAS NETWORKS,TEJASNET
TEMBO GLOBAL IND,TEMBO
TEXMACO INFRA & HOLDG,TEXINFRA
TEXMO PIPE & PRODUCTS,TEXMOPIPES
TEXMACO RAIL & ENG.,TEXRAIL
TOURISM FINANCE CORP. OF,TFCILTD
TRANSWARRANTY FIN.,TFL
TGB BANQUETS&HOTELS,TGBHOTELS
THANGAMAYIL JEWELLERY,THANGAMAYL
THE INVEST TRUST OF IND L,THEINVEST
THEJO ENGINEERING,THEJO
LEELA PALACES HOTEL,THELEELA
THEMIS MEDICARE,THEMISMED
THERMAX,THERMAX
THOMAS COOK (INDIA),THOMASCOOK
THOMAS SCOTT (INDIA),THOMASCOTT
THYROCARE TECH,THYROCARE
TILAKNAGAR INDUSTRIES,TI
TWAMEV CONS AND INFRA,TICL
TIGER LOGISTICS (INDIA) L,TIGERLOGS
TECHNOCRAFT IND,TIIL
TUBE INVEST OF INDIA,TIINDIA
TIJARIA POLYPIPES,TIJARIA
TIL,TIL
TIME TECHNOPLAST,TIMETECHNO
TIMKEN INDIA,TIMKEN
TINNA RUBBER AND INFR,TINNARUBR
TIPS FILMS,TIPSFILMS
TIPS MUSIC,TIPSMUSIC
THIRUMALAI CHEMICALS,TIRUMALCHM
TIRUPATI FORGE,TIRUPATIFL
TITAGARH RAIL SYSTEMS,TITAGARH
TITAN COMPANY,TITAN
TAMILNAD MERCA BANK,TMB
TAMILNADU NEWSPRT & PAPER,TNPL
TAMILNADU TELECOMMUNICATI,TNTELE
TOKYO PLAST INTL,TOKYOPLAST
TOLINS TYRES,TOLINS
DSPAMC - TOP10ADD,TOP10ADD
TORRENT PHARMACEUTICALS L,TORNTPHARM
TORRENT POWER,TORNTPOWER
TOTAL TRANSPORT SYS,TOTAL
TOUCHWOOD ENTERTAIN,TOUCHWOOD
TEAMO PRODUCTIONS HQ,TPHQ
TPL PLASTECH,TPLPLASTEH
TRACXN TECHNOLOGIES,TRACXN
TRANSRAIL LIGHTING,TRANSRAILL
TRANSWORLD SHIP LINES,TRANSWORLD
TRAVEL FOOD SERVICES,TRAVELFOOD
TREE HOUSE EDU,TREEHOUSE
TREJHARA SOLUTIONS,TREJHARA
TRANSINDIA REAL ESTATE L,TREL
TRENT,TRENT
TRF,TRF
TRIDENT,TRIDENT
TRIVENI TURBINE,TRITURBINE
TRIVENI ENGG. & INDS.,TRIVENI
TRUCAP FINANCE,TRU
TRUALT BIOENERGY,TRUALT
TSF INVESTMENTS,TSFINV
TTK HEALTHCARE,TTKHLTCARE
TTK PRESTIGE,TTKPRESTIG
T T,TTL
TATA TELESERV(MAHARASTRA),TTML
TVS ELECTRONICS,TVSELECT
TVS HOLDINGS,TVSHLTD
